Beta;Mach;AoA;Re/1e6;CL;CDo;CDi;CDtot;CDt;CDtot_t;CS;L/D;E;CFx;CFy;CFz;CMx;CMy;CMz;CMl;CMm;CMn;FOpt
0;0;-34.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.65903262;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-34.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.62235024;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-34.25;0.135359;-1.3005106;0.0645389155;0.189394881;1.58614394;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-34;0.135359;-1.3005106;0.0645389155;0.189394881;1.55041372;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-33.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.51515959;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-33.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.48038154;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-33.25;0.135359;-1.3005106;0.0645389155;0.189394881;1.44607958;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-33;0.135359;-1.3005106;0.0645389155;0.189394881;1.4122537;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-32.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.3789039;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-32.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.34603019;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-32.25;0.135359;-1.3005106;0.0645389155;0.189394881;1.31363256;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-32;0.135359;-1.3005106;0.0645389155;0.189394881;1.28171101;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-31.75;0.135359;-1.3005106;0.0645389155;0.189394881;1.25026555;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-31.5;0.135359;-1.3005106;0.0645389155;0.189394881;1.21929617;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-31.25;0.135359;-1.3005106;0.0645389155;0.189394881;1.18880287;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-31;0.135359;-1.3005106;0.0645389155;0.189394881;1.15878566;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
